"Id"	"Accession"	"Gene_name"	"Identification_type_36"	"Identification_type_38"	"Identification_type_40"	"Identification_type_61"	"Identification_type_63"	"Identification_type_65"	"Specific_peptides"	"Intensity_36"	"Intensity_38"	"Intensity_40"	"Intensity_61"	"Intensity_63"	"Intensity_65"
6312	"PYR1_YEAST"	"URA2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	665	145357360	139593040	140502864	170380992	164319248	165290048
6086	"EF2_YEAST"	"EFT1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	857	265334736	261277440	261497872	333965344	321546144	318054560
6350	"KPYK1_YEAST"	"CDC19"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	1848	724425408	737682176	723638144	953568320	938056192	942930048
6057	"G3P3_YEAST"	"TDH3"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	2085	257739200	254482432	247141808	277618432	283579776	284590816
6034	"ENO2_YEAST"	"ENO2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	875	276296192	277087264	280609504	347096032	350906880	348905152
6064	"PDC1_YEAST"	"PDC1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	1003	713696704	708159104	712769344	854405824	844847680	839441088
6442	"TRFL_HUMAN_UPS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	274	13734857	14000513	14398611	140304480	140129488	132462296
6035	"ENO1_YEAST"	"ENO1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	422	150330928	158504944	163803424	218003648	217648480	222764608
6205	"HSP71_YEAST"	"SSA1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	225	46141964	45971836	45673196	52152856	50656348	49482068
6206	"HSP72_YEAST"	"SSA2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	158	34187816	33230042	33703084	40518512	40248828	37636876
6535	"HSC82_YEAST"	"HSC82"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	242	44372600	44206748	44710856	58191112	58560368	61118244
6536	"HSP82_YEAST"	"HSP82"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	160	20323716	20579210	21066450	30029394	28808752	28980514
6196	"FAS1_YEAST"	"FAS1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	436	88691400	88411704	86874400	103699920	100920192	99242024
6533	"FAS2_YEAST"	"FAS2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	503	65135944	63668924	62688328	80622120	77994120	75003144
6059	"G3P2_YEAST"	"TDH2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	103	18711464	18341572	17707062	21158168	23066254	21070750
6550	"PGK_YEAST"	"PGK1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	1523	501436800	494422688	497934720	639366784	631068736	614062016
6794	"METE_YEAST"	"MET6"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	424	76441440	75088728	74373696	91385096	89024824	89585600
6142	"HSP76_YEAST"	"SSB2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	24	5495899.5	5904505	5902238.5	6754275	6062263.5	7061499
6143	"HSP75_YEAST"	"SSB1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	73	21615090	22715498	20830304	24616402	25574784	22615108
6457	"ALBU_HUMAN_UPS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	404	12217282	12172213	11949958	139939952	142987376	143415456
6602	"TRFE_HUMAN_UPS"	NA	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	260	8429260	8776953	8257920.5	78167768	74993832	80160640
