Accession	Label	Id	Gene_name	Identification_type_36	Identification_type_38	Identification_type_40	Identification_type_61	Identification_type_63	Identification_type_65	Specific_peptides	Intensity_36	Intensity_38	Intensity_40	Intensity_61	Intensity_63	Intensity_65	Intensity_38_ratio_Intensity_36	Intensity_40_ratio_Intensity_36	Intensity_61_ratio_Intensity_36	Intensity_63_ratio_Intensity_36	Intensity_65_ratio_Intensity_36	Intensity_36_norm	Intensity_38_norm	Intensity_40_norm	Intensity_61_norm	Intensity_63_norm	Intensity_65_norm	S1_G1_mean	S2_G1_mean	S3_G1_mean	S1_G2_mean	S2_G2_mean	S3_G2_mean	S1_G1_identification_type	S2_G1_identification_type	S3_G1_identification_type	S1_G2_identification_type	S2_G2_identification_type	S3_G2_identification_type	S1_G1_mean_imputed	S2_G1_mean_imputed	S3_G1_mean_imputed	S1_G2_mean_imputed	S2_G2_mean_imputed	S3_G2_mean_imputed	S1_G1_mean_imputed_log	S2_G1_mean_imputed_log	S3_G1_mean_imputed_log	S1_G2_mean_imputed_log	S2_G2_mean_imputed_log	S3_G2_mean_imputed_log	mean_intensity_G2-G1	fc_G2-G1	log2_fc_G2-G1	pval_G2-G1	log10_pval_G2-G1	qval_G2-G1	log10_qval_G2-G1	significant_G2-G1
2AAA_YEAST	TPD3	6514	TPD3	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	8	1558424.62	1865223.5	1577141.75	1878535.25	1883231.12	1822738	1.19686475435687	1.0120102889545	1.20540655344626	1.2084197694464	1.16960292888597	1558424.62	1866531.5630202	1600487.75380049	1547261.88401973	1593179.83234703	1573517.92420016	1558424.62	1866531.5630202	1600487.75380049	1547261.88401973	1593179.83234703	1573517.92420016	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	1558424.62	1866531.5630202	1600487.75380049	1547261.88401973	1593179.83234703	1573517.92420016	6.19268580057515	6.27103533823747	6.20425235547033	6.18956382705357	6.20226480015015	6.19687169439693	1623233.9295646	0.938018551162898	-0.0923116397308669	0.344858716461565	0.462358792544929	0.318376391818612	0.49705914345645	FALSE
6PGD1_YEAST	GND1	6589	GND1	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	447	110542536	106779408	108712824	135832752	132844464	132438376	0.965957647289727	0.983447891949937	1.22878266516339	1.20174974093231	1.19807615052363	110542536	106854291.355761	110322070.602131	111879103.557468	112384039.662509	114330286.90243	110542536	106854291.355761	110322070.602131	111879103.557468	112384039.662509	114330286.90243	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	110542536	106854291.355761	110322070.602131	111879103.557468	112384039.662509	114330286.90243	8.04352942368137	8.02879196847203	8.04266240438825	8.04874897788536	8.05070463882495	8.0581612933194	111052054.68005	1.0331824994905	0.0470951117585443	0.0632078158475374	1.19922921650266	0.1023815220764	0.989778418207652	FALSE
AAP1_YEAST	AAP1	6626	AAP1	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9	2169307.25	2330425.25	1953352.38	2248724.25	2390884	2209807.5	1.07427163671721	0.900449846373767	1.03660938301847	1.10214170906403	1.01866966977592	2169307.25	2332059.55446318	1982267.32825191	1852169.30036093	2022645.0857934	1907664.02537389	2169307.25	2332059.55446318	1982267.32825191	1852169.30036093	2022645.0857934	1907664.02537389	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2169307.25	2332059.55446318	1982267.32825191	1852169.30036093	2022645.0857934	1907664.02537389	6.33632106770319	6.36773963692938	6.29716222298263	6.26768068151009	6.30591968365862	6.2805018898784	2044352.09070722	0.89185760534374	-0.165114708131112	0.103130972362134	0.986610887520183	0.140185567959584	0.853296694487302	FALSE
AATC_YEAST	AAT2	6023	AAT2	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	88	10643570	11089584	11020140	13931792	13435059	13014804	1.04190454894363	1.03538004635663	1.30893976363194	1.26226999023824	1.22278558791834	10643570	11097361.0169311	11183268.159103	11474967.3915839	11365819.5310581	11235310.4911139	10643570	11097361.0169311	11183268.159103	11474967.3915839	11365819.5310581	11235310.4911139	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10643570	11097361.0169311	11183268.159103	11474967.3915839	11365819.5310581	11235310.4911139	7.027087320746	7.04521971463835	7.04856873879658	7.05975146007638	7.0556007559417	7.05058507877688	11166716.0982983	1.03498637071058	0.0496117696205256	0.104583697316904	0.980536008748995	0.14109670884899	0.850483116262608	FALSE
ABF2_YEAST	ABF2	6110	ABF2	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28	888652.25	1030908	913243.12	1570519.88	1624855.38	1562021.75	1.16008033513672	1.0276720955807	1.76730535482243	1.82844906992583	1.75774241273794	888652.25	1031630.96571002	926761.611505467	1293563.98737752	1374598.57922089	1348448.99355558	888652.25	1031630.96571002	926761.611505467	1293563.98737752	1374598.57922089	1348448.99355558	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	888652.25	1031630.96571002	926761.611505467	1293563.98737752	1374598.57922089	1348448.99355558	5.94873184482603	6.01352436956047	5.96696803606244	6.11178791637506	6.13817589068839	6.12983452347241	1143942.73122825	1.41080025216265	0.496513738740267	0.00195194753402664	2.7095318598194	0.0121379725966484	1.91585384733145	FALSE
ABP1_YEAST	ABP1	6237	ABP1	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	156	17319438	17311256	16497714	20032124	19525854	18553718	0.999527582823415	0.952554811536032	1.15662667576165	1.12739535774775	1.07126559187429	17319438	17323396.2147286	16741925.2091341	16499526.3842703	16518523.1232545	16016897.5648476	17319438	17323396.2147286	16741925.2091341	16499526.3842703	16518523.1232545	16016897.5648476	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17319438	17323396.2147286	16741925.2091341	16499526.3842703	16518523.1232545	16016897.5648476	7.2385337954493	7.23863303853153	7.22380539748211	7.2174714780533	7.21797121561796	7.20457839808093	16736617.7493725	0.954270247095891	-0.0675302029409499	0.0368897819129769	1.43309391225139	0.0734686780582699	1.13389777446301	FALSE
ACAC_YEAST	ACC1	6220	ACC1	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	194	16253850	15894171	15629401	18320894	17804404	17248616	0.977871150527413	0.96158147146676	1.12717257757393	1.09539610615331	1.06120186909563	16253850	15905317.4268609	15860758.8060725	15090066.0327591	15062207.2238052	14890240.0913602	16253850	15905317.4268609	15860758.8060725	15090066.0327591	15062207.2238052	14890240.0913602	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16253850	15905317.4268609	15860758.8060725	15090066.0327591	15062207.2238052	14890240.0913602	7.21095624751273	7.20154234086611	7.2003239608761	7.17869114021298	7.17788861827104	7.17290170040579	15510406.5968097	0.937996304480641	-0.0923458560677709	0.00189278741599181	2.72289816007006	0.0119069533959485	1.92419934620706	FALSE
ACBP_YEAST	ACB1	6461	ACB1	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	75	16773873	17220726	16191462	19495098	19200810	18785568	1.0266398225383	0.965278680719712	1.16222997515243	1.14468554757747	1.11993026297504	16773873	17232802.726924	16431139.8434072	16057203.1111097	16243541.7150111	16217047.0820716	16773873	17232802.726924	16431139.8434072	16057203.1111097	16243541.7150111	16217047.0820716	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16773873	17232802.726924	16431139.8434072	16057203.1111097	16243541.7150111	16217047.0820716	7.22463335052072	7.23635591644101	7.21566769189102	7.20566990089328	7.21068072808164	7.20997177757475	16492601.2464206	0.961932854537257	-0.055991901315065	0.053533098660636	1.27137761758673	0.0913609033924419	1.03923961469791	FALSE
ACEA_YEAST	ICL1	6522	ICL1	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	213	25682410	25082494	23263514	28158842	27069488	28204744	0.976640977229162	0.90581506953592	1.09642521866133	1.05400887222033	1.09821251198778	25682410	25100084.1080251	23607877.5210702	23193125.0290532	22900302.5149456	24348354.0868062	25682410	25100084.1080251	23607877.5210702	23193125.0290532	22900302.5149456	24348354.0868062	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	25682410	25100084.1080251	23607877.5210702	23193125.0290532	22900302.5149456	24348354.0868062	7.40963577487158	7.39967517676351	7.37305694335477	7.3653592691829	7.35984121944486	7.38646960886986	24138692.2099834	0.946920684601799	-0.0786845062832892	0.158244785942374	0.800670590781449	0.188072836086931	0.72567392634999	FALSE
ACH1_YEAST	ACH1	6561	ACH1	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	108	13196442	13232394	12935531	15615349	15412107	14544031	1.00272437070538	0.980228685883665	1.18329993796813	1.167898665413	1.10211760109278	13196442	13241673.7486522	13127012.175289	12861634.7834652	13038366.7652935	12555448.7088231	13196442	13241673.7486522	13127012.175289	12861634.7834652	13038366.7652935	12555448.7088231	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13196442	13241673.7486522	13127012.175289	12861634.7834652	13038366.7652935	12555448.7088231	7.1204568533227	7.12194288343161	7.11816588805095	7.10929617327834	7.11522319344775	7.09883223821849	13003429.6969205	0.971953138417938	-0.0410413372310169	0.0651260863991488	1.18624501895967	0.105173769378924	0.978092560889948	FALSE
